"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m"
1993-06-22,6.429,5.825,5.047,5.062,5.219,5.078,6.239,6.873
1993-06-23,6.506,5.946,5.144,5.016,5.154,5.046,6.28,6.945
1993-06-24,6.539,6.059,5.234,5.08,5.184,5.055,6.358,7.013
1993-06-25,6.547,6.126,5.126,5.158,5.243,5.146,6.433,7.059
1993-06-26,6.617,6.117,5.361,5.325,5.346,5.07,6.309,6.952
1993-06-27,6.547,6.219,5.713,5.548,5.517,5.007,6.241,6.784
1993-06-28,6.427,6.353,5.894,5.728,5.722,4.99,6.165,6.573
1993-06-29,6.361,6.494,5.861,5.807,5.813,4.954,6.006,6.369
1993-06-30,6.338,6.516,5.873,5.908,5.905,4.952,5.817,6.236
1993-07-01,6.473,6.51,5.982,6.068,6.047,4.971,5.588,6.167
1993-07-02,6.625,6.539,6.074,6.17,6.141,5.004,5.501,6.109
1993-07-03,6.752,6.55,6.089,6.23,6.182,5.035,5.521,6.085
1993-07-04,6.883,6.575,6.132,6.312,6.228,5.045,5.555,6.071
1993-07-05,7.025,6.691,6.19,6.388,6.263,5.045,5.643,6.098
1993-07-06,7.109,6.759,6.106,6.407,6.238,5.039,5.737,6.168
1993-07-07,7.221,6.791,6.121,6.425,6.222,5.022,5.738,6.233
1993-07-08,7.344,6.931,6.254,6.425,6.197,4.997,5.792,6.318
1993-07-09,7.412,7.07,6.31,6.399,6.157,4.995,5.875,6.427
1993-07-10,7.454,7.169,6.325,6.347,6.108,4.992,5.919,6.506
1993-07-11,7.478,7.257,6.39,6.292,6.052,4.983,5.938,6.526
1993-07-12,7.439,7.328,6.402,6.221,5.98,4.984,5.974,6.519
1993-07-13,7.391,7.355,6.314,6.122,5.892,4.99,5.994,6.479
1993-07-14,7.386,7.365,6.298,6.034,5.814,4.983,5.98,6.402
1993-07-15,7.346,7.367,6.265,5.96,5.752,4.985,5.981,6.325
1993-07-16,7.314,7.348,6.226,5.889,5.697,4.989,5.974,6.249
1993-07-17,7.319,7.326,6.189,5.826,5.651,5,5.97,6.196
1993-07-18,7.267,7.291,6.097,5.768,5.614,5.024,6.008,6.188
1993-07-19,7.261,7.153,5.899,5.665,5.561,5.057,6.046,6.217
1993-07-20,7.382,7.051,5.857,5.559,5.487,5.045,6.03,6.232
1993-07-21,7.471,7.045,5.9,5.468,5.408,5.027,6.052,6.257
1993-07-22,7.562,7.107,6.051,5.422,5.371,5.006,6.034,6.268
1993-07-23,7.613,7.207,6.054,5.386,5.326,5.007,6.041,6.26
1993-07-24,7.628,7.264,6.056,5.351,5.283,4.991,6.015,6.224
1993-07-25,7.65,7.235,6.017,5.293,5.249,4.989,6.016,6.208
1993-07-26,7.648,7.215,5.997,5.249,5.213,4.974,6.009,6.191
1993-07-27,7.71,7.214,6.022,5.222,5.199,4.972,5.997,6.189
1993-07-28,7.734,7.259,6.087,5.227,5.189,4.964,6.002,6.183
1993-07-29,7.759,7.269,6.124,5.225,5.16,4.968,6.03,6.228
1993-07-30,7.775,7.242,6.138,5.212,5.119,4.976,6.08,6.28
1993-07-31,7.815,7.153,6.12,5.18,5.079,4.988,6.115,6.349
1993-08-01,7.84,7.158,6.132,5.167,5.043,5.003,6.152,6.408
1993-08-02,7.837,7.145,6.059,5.14,5.001,5.012,6.182,6.457
1993-08-03,7.853,7.118,6.053,5.115,4.986,5.005,6.181,6.493
1993-08-04,7.897,7.145,6.076,5.119,4.966,4.994,6.191,6.509
1993-08-05,7.974,7.2,6.081,5.125,4.951,4.997,6.198,6.517
1993-08-06,8.064,7.274,6.104,5.134,4.941,4.998,6.199,6.515
1993-08-07,8.124,7.345,6.025,5.125,4.926,5.016,6.222,6.522
1993-08-08,8.151,7.336,5.916,5.098,4.917,5.022,6.24,6.533
1993-08-09,8.175,7.33,5.782,5.063,4.932,5.044,6.274,6.562
1993-08-10,8.279,7.428,5.862,5.08,4.896,4.987,6.256,6.56
1993-08-11,8.365,7.528,5.888,5.112,4.888,4.967,6.287,6.593
1993-08-12,8.387,7.564,5.909,5.148,4.941,4.94,6.321,6.624
1993-08-13,8.37,7.612,5.904,5.171,4.975,4.919,6.36,6.656
1993-08-14,8.335,7.672,5.773,5.173,4.959,4.903,6.421,6.681
1993-08-15,8.28,7.621,5.404,5.11,4.922,4.923,6.497,6.758
1993-08-16,8.381,7.656,5.661,5.102,4.9,4.766,6.401,6.717
1993-08-17,8.392,7.755,5.871,5.12,4.906,4.739,6.49,6.704
1993-08-18,8.321,7.853,6.108,5.151,4.913,4.678,6.472,6.709
1993-08-19,8.233,7.901,6.105,5.112,4.874,4.608,6.45,6.687
1993-08-20,8.122,7.891,6.235,5.069,4.835,4.483,6.34,6.605
1993-08-21,7.919,7.895,6.26,5.014,4.789,4.398,6.266,6.528
1993-08-22,7.648,7.907,6.083,4.996,4.747,4.325,6.179,6.43
1993-08-23,7.698,7.765,5.764,4.881,4.691,4.259,6.071,6.361
1993-08-24,7.818,7.744,5.84,4.856,4.667,4.168,5.926,6.275
1993-08-25,7.839,7.754,5.765,4.844,4.607,4.168,5.958,6.271
1993-08-26,8.019,7.795,5.853,4.818,4.562,4.171,5.911,6.284
1993-08-27,8.05,7.87,5.756,4.794,4.487,4.265,6.035,6.327
1993-08-28,8.22,7.862,5.653,4.758,4.401,4.288,6.026,6.356
1993-08-29,8.31,7.969,5.831,4.7,4.31,4.308,6.037,6.366
1993-08-30,8.239,8.054,5.586,4.707,4.269,4.412,6.167,6.422
1993-08-31,8.38,8.005,5.532,4.647,4.222,4.381,6.105,6.415
1993-09-01,8.54,8.034,5.664,4.559,4.123,4.375,6.112,6.414
1993-09-02,8.336,8.245,5.699,4.659,4.125,4.401,6.167,6.414
1993-09-03,8.496,8.109,5.489,4.579,4.078,4.394,6.158,6.435
1993-09-04,8.582,8.207,5.722,4.59,4.074,4.337,6.092,6.397
1993-09-05,8.45,8.363,5.722,4.651,4.096,4.339,6.137,6.4
1993-09-06,8.561,8.233,5.576,4.613,4.099,4.33,6.136,6.418
1993-09-07,8.486,8.241,5.584,4.625,4.125,4.312,6.12,6.391
1993-09-08,8.514,8.274,5.573,4.652,4.153,4.319,6.138,6.419
1993-09-09,8.48,8.23,5.656,4.654,4.184,4.303,6.126,6.401
1993-09-10,8.397,8.21,5.646,4.627,4.207,4.32,6.155,6.423
1993-09-11,8.42,8.287,5.764,4.669,4.238,4.266,6.086,6.395
1993-09-12,8.017,8.443,5.816,4.725,4.273,4.226,6.053,6.351
1993-09-13,7.71,8.351,5.34,4.695,4.268,4.239,6.079,6.359
1993-09-14,8.14,8.181,5.217,4.669,4.29,4.148,5.912,6.298
1993-09-15,8.485,8.316,5.425,4.723,4.305,4.116,5.904,6.259
1993-09-16,8.56,8.578,5.591,4.81,4.312,4.135,5.936,6.275
1993-09-17,8.674,8.321,5.322,4.745,4.261,4.229,6.049,6.308
1993-09-18,9.077,8.346,5.534,4.734,4.214,4.223,5.998,6.291
1993-09-19,9.348,8.485,6.085,4.722,4.18,4.23,6.009,6.296
1993-09-20,9.36,8.79,6.079,4.742,4.154,4.306,6.134,6.347
1993-09-21,9.371,8.896,5.978,4.701,4.136,4.254,6.075,6.35
1993-09-22,9.286,8.924,5.855,4.654,4.115,4.208,6.045,6.317
1993-09-23,9.418,8.833,5.726,4.626,4.1,4.186,6.043,6.308
1993-09-24,9.534,8.981,5.913,4.704,4.128,4.159,6.01,6.286
1993-09-25,9.602,9.263,6.17,4.786,4.176,4.155,6.033,6.304
1993-09-26,9.719,9.27,6.118,4.776,4.192,4.143,6.037,6.315
1993-09-27,9.862,9.238,6.142,4.737,4.186,4.113,6.011,6.298
1993-09-28,10.147,9.506,6.636,4.841,4.218,4.042,5.904,6.272
1993-09-29,9.993,9.927,7.035,5.064,4.285,4.002,5.804,6.2
1993-09-30,10.003,9.811,6.86,5.042,4.301,4.013,5.626,6.116
1993-10-01,10.142,9.661,6.823,5.143,4.355,4.061,5.455,6
1993-10-02,10.411,9.505,6.899,5.336,4.437,4.075,5.341,5.917
1993-10-03,10.768,9.529,7.133,5.423,4.524,4.077,5.304,5.887
1993-10-04,10.961,9.893,7.341,5.547,4.582,4.095,5.351,5.882
1993-10-05,11.154,9.985,7.331,5.641,4.643,4.09,5.291,5.853
1993-10-06,11.451,10.101,7.49,5.605,4.672,4.102,5.269,5.805
1993-10-07,11.48,10.303,7.435,5.758,4.68,4.078,5.303,5.812
1993-10-08,11.703,10.486,7.655,5.822,4.729,4.079,5.23,5.777
1993-10-09,11.692,10.443,7.378,5.726,4.66,4.057,5.316,5.801
1993-10-10,11.764,10.559,7.42,5.725,4.639,4.028,5.289,5.797
1993-10-11,11.631,10.759,7.358,5.693,4.639,4.022,5.351,5.775
1993-10-12,11.47,10.473,6.946,5.637,4.636,4.014,5.392,5.787
1993-10-13,11.736,10.281,7.136,5.56,4.694,4.024,5.329,5.775
1993-10-14,11.589,10.728,7.548,5.739,4.779,4.087,5.436,5.793
1993-10-15,11.412,10.522,7.027,5.766,4.804,4.093,5.496,5.842
1993-10-16,11.521,10.293,7.018,5.663,4.838,4.102,5.491,5.828
1993-10-17,11.581,10.287,7.089,5.703,4.881,4.147,5.561,5.856
1993-10-18,11.627,10.45,7.189,5.762,4.915,4.193,5.629,5.909
1993-10-19,11.63,10.653,7.524,5.842,4.987,4.233,5.652,5.951
1993-10-20,11.327,10.531,7.005,5.934,5.013,4.278,5.766,6.006
1993-10-21,11.491,10.163,7.113,5.827,5.034,4.269,5.723,6.049
1993-10-22,11.637,10.38,7.801,6.019,5.121,4.305,5.718,6.019
1993-10-23,11.298,10.762,8.296,6.26,5.161,4.306,5.748,6.033
1993-10-24,11.132,10.807,7.888,6.185,5.162,4.28,5.704,6.005
1993-10-25,11.217,10.619,7.695,6.141,5.223,4.284,5.602,5.921
1993-10-26,11.05,10.62,7.567,6.24,5.274,4.322,5.679,5.881
1993-10-27,11.212,10.386,7.584,6.297,5.358,4.318,5.652,5.875
1993-10-28,11.477,10.416,7.859,6.464,5.519,4.391,5.646,5.886
1993-10-29,11.148,10.7,7.821,6.564,5.551,4.504,5.77,5.948
1993-10-30,10.986,10.386,7.374,6.438,5.6,4.546,5.748,5.935
1993-10-31,11.031,10.277,7.378,6.433,5.67,4.601,5.767,5.938
1993-11-01,10.933,10.178,7.218,6.496,5.711,4.655,5.842,5.959
1993-11-02,11.108,10.074,7.387,6.467,5.8,4.692,5.805,5.971
1993-11-03,10.696,10.362,7.38,6.554,5.855,4.774,5.897,6
1993-11-04,10.7,10.019,7.096,6.541,5.883,4.75,5.844,6.007
1993-11-05,10.692,10.02,7.174,6.517,5.925,4.761,5.849,5.971
