"Date","18 m","25 m","29 m","34 m","40 m","47 m","56 m","66 m"
2022-10-23,9.66,9.422,11.925,10.221,5.454,4.152,4.267,4.324
2022-10-24,9.624,9.052,11.221,10.212,5.261,4.316,4.255,4.314
2022-10-25,9.756,9.1,11.36,10.202,5.357,4.513,4.264,4.364
2022-10-26,9.921,9.235,11.859,10.193,5.547,4.696,4.291,4.435
2022-10-27,10.143,9.47,12.213,10.221,5.829,4.87,4.357,4.53
2022-10-28,10.398,9.29,12.08,10.192,6.158,4.973,4.424,4.588
2022-10-29,10.536,9.632,11.908,9.994,6.292,5.17,4.466,4.651
2022-10-30,10.703,9.737,12.089,9.86,6.678,5.268,4.582,4.77
2022-10-31,10.971,10.178,12.051,9.883,7.188,5.538,4.813,4.93
2022-11-01,11.245,10.439,12.186,9.945,7.637,5.75,5.174,5.112
2022-11-02,11.437,10.53,12.296,10.183,7.989,5.981,5.55,5.24
2022-11-03,11.547,10.661,12.406,9.746,8.521,6.534,5.474,5.421
2022-11-04,11.668,11.184,12.443,9.528,9.093,7.042,5.767,5.72
2022-11-05,12.119,11.619,12.508,9.717,10.084,7.987,6.792,6.39
2022-11-06,12.174,11.733,12.579,9.861,10.475,8.588,7.013,6.878
2022-11-07,11.927,11.398,12.643,9.824,9.93,8.285,6.484,6.464
2022-11-08,11.667,10.498,12.408,9.683,9.18,7.665,6.188,5.965
2022-11-09,11.103,10.369,11.874,9.294,8.91,7.872,6.321,6.016
2022-11-10,11.096,11.095,11.477,9.123,9.376,8.577,6.968,6.364
2022-11-11,10.933,11.201,11.332,9.185,10.061,9.5,8.006,7.636
2022-11-12,10.962,11.069,11.143,9.547,10.223,9.997,8.527,7.862
2022-11-13,10.762,10.608,10.989,9.731,10.043,9.133,8.112,7.593
2022-11-14,10.452,10.582,10.796,9.295,9.454,8.79,7.505,7.031
2022-11-15,10.123,9.969,10.527,9.147,9.142,8.058,7.256,6.839
2022-11-16,9.915,9.977,10.302,8.713,8.96,8.236,7.039,6.661
2022-11-17,9.781,9.978,10.252,8.698,9.047,8.133,7.21,6.918
2022-11-18,9.393,9.635,10.024,8.712,8.737,7.987,7.163,7.007
2022-11-19,9.058,9.463,9.853,8.291,8.281,7.809,6.716,6.694
2022-11-20,9.022,9.402,9.772,8.115,8.155,7.631,6.623,6.553
2022-11-21,8.89,8.908,9.495,8.076,8.368,7.445,6.673,6.599
2022-11-22,8.639,8.686,9.202,7.873,8.184,7.423,6.591,6.561
2022-11-23,8.772,8.725,8.895,7.728,8.395,7.334,6.567,6.609
2022-11-24,8.463,8.621,8.327,7.431,8.663,8.171,7.308,7.198
2022-11-25,8.115,8.383,7.952,7.336,8.464,8.469,7.587,7.488
2022-11-26,8.01,8.105,7.959,7.54,8.341,8.428,7.704,7.673
2022-11-27,7.933,8.072,7.916,7.508,8.182,8.272,7.748,7.683
2022-11-28,7.868,7.963,7.902,7.536,8.176,8.201,7.76,7.437
2022-11-29,7.746,7.841,7.768,7.519,8.08,8.113,7.826,7.455
2022-11-30,7.591,7.705,7.566,7.391,7.962,8.01,7.792,7.427
2022-12-01,7.481,7.431,7.482,7.432,7.877,7.832,7.83,7.533
2022-12-02,7.311,7.176,7.306,7.32,7.812,7.949,7.804,7.443
2022-12-03,7.243,6.993,7.264,6.692,7.866,7.935,7.083,7.166
2022-12-04,7.399,6.867,7.202,6.665,7.856,7.725,6.794,6.853
2022-12-05,7.396,6.911,7.139,6.715,7.815,7.426,6.81,6.908
2022-12-06,7.327,6.885,7.087,6.558,7.776,7.412,6.711,6.947
2022-12-07,7.342,6.81,7.129,6.669,7.774,7.444,6.849,7.029
2022-12-08,7.32,6.807,7.092,6.959,7.736,7.524,7.13,7.143
2022-12-09,7.262,6.83,7.089,6.858,7.686,7.596,7.038,7.231
2022-12-10,7.18,6.881,7.015,6.652,7.639,7.655,6.956,7.303
2022-12-11,6.991,6.834,6.811,6.375,7.571,7.681,6.877,7.375
2022-12-12,6.81,6.783,6.662,6.429,7.44,7.714,7.014,7.438
2022-12-13,6.502,6.635,6.522,6.627,6.988,7.352,7.054,7.374
2022-12-14,6.163,6.555,6.535,6.701,6.719,6.93,6.967,7.357
2022-12-15,6.252,6.427,6.43,6.513,6.774,6.756,6.828,7.26
2022-12-16,6.5,6.219,6.243,6.362,6.84,6.596,6.72,7.172
2022-12-17,6.533,6.189,6.216,6.276,6.757,6.81,6.75,7.058
2022-12-18,6.564,6.64,6.304,6.418,6.698,6.9,6.706,6.969
2022-12-19,6.557,6.747,6.35,6.358,6.685,6.903,6.622,6.952
2022-12-20,6.465,6.765,6.279,6.213,6.681,6.933,6.662,6.93
2022-12-21,6.249,6.627,6.129,6.149,6.644,6.904,6.75,6.935
2022-12-22,6.175,6.553,6.045,6.034,6.604,6.898,6.733,6.914
2022-12-23,6.098,6.416,5.929,5.95,6.576,6.87,6.753,6.89
2022-12-24,6.183,6.105,6.067,6.291,6.572,6.706,6.674,6.852
2022-12-25,6.15,6.183,5.948,6.072,6.605,6.761,6.698,6.915
2022-12-26,5.868,6.234,5.77,5.745,6.69,7.006,6.683,7.1
2022-12-27,5.772,6.393,5.754,5.54,6.985,7.109,6.63,7.363
2022-12-28,5.721,6.594,5.743,5.497,7.144,7.278,6.737,7.484
2022-12-29,5.597,6.621,5.536,5.414,6.982,7.188,6.718,7.392
2022-12-30,5.413,5.87,5.491,5.299,6.607,6.889,6.54,7.211
2022-12-31,5.496,5.51,5.415,5.299,6.375,6.642,6.45,7.084
2023-01-01,5.59,5.805,5.334,5.302,6.26,6.529,6.419,6.918
2023-01-02,5.441,5.97,5.038,5.161,6.148,6.427,6.373,6.822
2023-01-03,5.039,5.908,4.773,5.011,5.882,6.312,6.286,6.676
2023-01-04,4.798,5.631,4.661,5.017,5.607,6.107,6.131,6.471
2023-01-05,4.697,5.302,4.593,4.948,5.441,5.798,5.994,6.279
2023-01-06,4.491,4.629,4.432,4.805,5.269,5.6,5.96,6.178
2023-01-07,4.354,4.281,4.35,4.74,5.047,5.496,5.852,5.953
2023-01-08,4.362,4.316,4.339,4.671,5,5.515,5.769,5.833
2023-01-09,4.112,4.373,4.086,4.463,5.042,5.573,5.824,5.925
2023-01-10,4.07,4.489,4.081,4.573,5.009,5.631,5.869,5.923
2023-01-11,3.839,4.49,3.888,4.335,4.582,5.285,5.57,5.634
2023-01-12,3.672,4.146,3.749,4.048,4.459,4.977,5.327,5.447
2023-01-13,3.647,3.852,3.645,3.903,4.441,4.792,5.219,5.324
2023-01-14,3.752,3.673,3.42,4.234,4.612,4.983,5.306,5.433
2023-01-15,3.853,3.881,3.446,4.385,4.636,5.171,5.5,5.453
2023-01-16,3.692,3.81,3.32,4.288,4.51,4.866,5.406,5.59
2023-01-17,3.592,3.587,3.42,4.228,4.298,4.344,5.1,5.534
2023-01-18,3.746,3.623,3.467,4.188,4.387,4.496,5.05,5.41
2023-01-19,3.851,3.816,3.544,4.24,4.733,4.793,5.318,5.789
2023-01-20,3.657,3.934,3.297,4.118,4.732,4.866,5.348,5.95
2023-01-21,3.175,3.58,3.05,3.88,4.174,4.342,4.986,5.685
2023-01-22,2.965,3.303,3.106,3.792,3.755,3.751,4.524,5.213
2023-01-23,2.996,3.216,3.087,3.692,3.613,3.645,4.4,4.961
2023-01-24,3.035,3.22,2.96,3.752,3.573,4.004,4.579,4.918
2023-01-25,2.99,3.511,2.71,3.782,3.733,4.22,4.934,5.16
2023-01-26,2.85,3.405,2.413,3.607,3.418,4.105,4.862,4.941
2023-01-27,2.814,3.269,2.606,3.846,2.95,4.333,4.747,4.458
2023-01-28,2.779,3.493,2.608,3.735,2.873,4.019,4.443,4.151
2023-01-29,2.778,3.396,2.582,3.732,2.912,3.628,4.309,4.056
2023-01-30,2.783,3.306,2.528,3.659,2.869,3.485,4.185,3.925
2023-01-31,2.76,3.105,2.527,3.582,2.853,3.155,3.957,3.758
2023-02-01,2.628,2.865,2.389,3.263,2.871,2.961,3.819,3.66
2023-02-02,2.391,2.717,2.274,3.008,2.797,2.847,3.761,3.548
2023-02-03,2.249,2.515,2.242,3.029,2.69,2.868,3.793,3.491
2023-02-04,1.891,2.222,1.747,2.881,2.656,2.974,3.944,3.52
2023-02-05,1.627,1.833,1.197,2.744,2.649,3.058,4.058,3.569
2023-02-06,1.775,1.867,1.352,2.823,2.535,2.917,3.963,3.403
2023-02-07,1.676,1.565,1.14,2.452,2.132,2.115,3.392,2.954
2023-02-08,1.287,1.401,0.923,2.195,1.728,1.915,3.184,2.665
2023-02-09,1.19,1.36,0.943,2.089,1.548,1.891,2.924,2.539
2023-02-10,1.109,1.341,0.867,1.852,1.52,1.717,2.715,2.511
2023-02-11,1.057,1.248,0.923,1.969,1.263,1.598,2.634,2.381
2023-02-12,0.999,1.184,0.839,1.686,0.993,1.428,2.399,2.038
2023-02-13,1,1.139,0.896,1.741,1.116,1.252,2.27,1.869
2023-02-14,0.876,0.935,0.82,1.585,1.017,1.197,2.254,1.77
2023-02-15,0.872,0.869,0.845,1.48,0.815,1.074,2.116,1.563
2023-02-16,0.998,0.889,0.921,1.553,0.9,0.967,1.978,1.521
2023-02-17,1.112,0.897,0.834,1.684,1.053,0.902,2.005,1.522
2023-02-18,0.957,0.889,0.69,1.641,0.916,0.94,2.105,1.572
2023-02-19,0.792,0.921,0.677,1.501,0.613,1.042,2.142,1.561
2023-02-20,0.837,0.908,0.743,1.525,0.629,0.947,2.003,1.435
2023-02-21,0.893,0.864,0.787,1.674,0.72,0.788,1.933,1.466
2023-02-22,0.896,0.852,0.756,1.689,0.757,0.784,1.957,1.62
2023-02-23,0.834,0.823,0.703,1.65,0.752,0.839,2.051,1.737
2023-02-24,0.676,0.778,0.629,1.451,0.555,0.853,2.026,1.636
2023-02-25,0.448,0.511,0.57,1.238,0.33,0.615,1.796,1.221
2023-02-26,0.421,0.3,0.432,1.108,0.302,0.305,1.547,0.941
