"Date","110 m","131 m","156 m"
2022-04-23,8.485,9.267,9.492
2022-04-24,8.475,9.312,9.504
2022-04-25,8.478,9.32,9.517
2022-04-26,8.52,9.312,9.527
2022-04-27,8.615,9.336,9.53
2022-04-28,8.638,9.348,9.516
2022-04-29,8.584,9.346,9.512
2022-04-30,8.502,9.283,9.511
2022-05-01,8.522,9.211,9.488
2022-05-02,8.575,9.211,9.48
2022-05-03,8.599,9.233,9.471
2022-05-04,8.557,9.204,9.444
2022-05-05,8.508,9.152,9.416
2022-05-06,8.439,9.128,9.407
2022-05-07,8.296,9.08,9.406
2022-05-08,8.221,9.018,9.398
2022-05-09,8.17,8.994,9.396
2022-05-10,8.177,8.984,9.381
2022-05-11,8.247,8.957,9.344
2022-05-12,8.296,8.901,9.277
2022-05-13,8.244,8.848,9.221
2022-05-14,8.121,8.783,9.19
2022-05-15,8.016,8.732,9.202
2022-05-16,7.95,8.699,9.204
2022-05-17,7.911,8.705,9.21
2022-05-18,7.906,8.749,9.234
2022-05-19,7.924,8.844,9.283
2022-05-20,7.919,8.904,9.312
2022-05-21,7.914,8.924,9.333
2022-05-22,7.999,8.954,9.36
2022-05-23,8.056,9.005,9.388
2022-05-24,7.991,9.016,9.411
2022-05-25,7.952,9.001,9.416
2022-05-26,7.98,8.986,9.419
2022-05-27,7.983,8.978,9.425
2022-05-28,7.934,8.955,9.425
2022-05-29,7.87,8.935,9.431
2022-05-30,7.839,8.934,9.439
2022-05-31,7.814,8.926,9.435
2022-06-01,7.797,8.927,9.428
2022-06-02,7.768,8.92,9.423
2022-06-03,7.768,8.909,9.41
2022-06-04,7.831,8.91,9.385
2022-06-05,7.92,8.908,9.353
2022-06-06,7.94,8.895,9.32
2022-06-07,7.845,8.851,9.297
2022-06-08,7.763,8.787,9.269
2022-06-09,7.813,8.765,9.246
2022-06-10,7.845,8.778,9.249
2022-06-11,7.761,8.791,9.292
2022-06-12,7.731,8.792,9.328
2022-06-13,7.745,8.805,9.336
2022-06-14,7.731,8.823,9.341
2022-06-15,7.704,8.837,9.359
2022-06-16,7.738,8.824,9.349
2022-06-17,7.761,8.816,9.326
2022-06-18,7.793,8.811,9.33
2022-06-19,7.819,8.798,9.35
2022-06-20,7.885,8.804,9.344
2022-06-21,7.91,8.805,9.333
2022-06-22,7.906,8.803,9.33
2022-06-23,7.952,8.816,9.322
2022-06-24,8.006,8.828,9.318
2022-06-25,8.011,8.823,9.318
2022-06-26,7.984,8.805,9.315
2022-06-27,7.993,8.789,9.3
2022-06-28,8.046,8.805,9.299
2022-06-29,8.026,8.799,9.316
2022-06-30,8.035,8.786,9.322
2022-07-01,8.058,8.789,9.32
2022-07-02,8.056,8.795,9.328
2022-07-03,8.042,8.797,9.349
2022-07-04,8.103,8.804,9.358
2022-07-05,8.189,8.801,9.348
2022-07-06,8.242,8.778,9.326
2022-07-07,8.124,8.75,9.333
2022-07-08,8.054,8.71,9.324
2022-07-09,8.099,8.698,9.3
2022-07-10,8.015,8.68,9.294
2022-07-11,7.936,8.656,9.285
2022-07-12,7.957,8.661,9.265
2022-07-13,7.953,8.677,9.254
2022-07-14,7.885,8.661,9.248
2022-07-15,7.858,8.632,9.228
2022-07-16,7.866,8.623,9.211
2022-07-17,7.823,8.613,9.208
2022-07-18,7.828,8.607,9.205
2022-07-19,7.841,8.606,9.2
2022-07-20,7.818,8.623,9.211
2022-07-21,7.86,8.64,9.211
2022-07-22,7.974,8.647,9.191
2022-07-23,7.932,8.635,9.188
2022-07-24,7.858,8.62,9.194
2022-07-25,7.85,8.61,9.182
2022-07-26,7.841,8.614,9.177
2022-07-27,7.858,8.615,9.17
2022-07-28,7.959,8.616,9.155
2022-07-29,7.99,8.619,9.144
2022-07-30,7.929,8.616,9.149
2022-07-31,7.884,8.599,9.142
2022-08-01,7.955,8.595,9.117
2022-08-02,8.013,8.595,9.096
2022-08-03,7.961,8.593,9.096
2022-08-04,7.901,8.567,9.091
2022-08-05,7.93,8.559,9.075
2022-08-06,7.919,8.55,9.066
2022-08-07,7.92,8.54,9.058
2022-08-08,7.916,8.535,9.056
2022-08-09,7.979,8.539,9.05
2022-08-10,8.01,8.546,9.045
2022-08-11,8.013,8.545,9.04
2022-08-12,7.984,8.547,9.04
2022-08-13,7.963,8.544,9.04
2022-08-14,7.976,8.547,9.033
2022-08-15,7.988,8.551,9.024
2022-08-16,8.003,8.556,9.017
2022-08-17,8.038,8.571,9.008
2022-08-18,8.189,8.629,8.988
2022-08-19,8.295,8.669,8.985
2022-08-20,8.189,8.646,8.981
2022-08-21,8.185,8.621,8.971
2022-08-22,8.227,8.621,8.96
2022-08-23,8.21,8.623,8.963
2022-08-24,8.175,8.633,8.978
2022-08-25,8.16,8.65,8.979
2022-08-26,8.217,8.676,8.974
2022-08-27,8.267,8.697,8.974
2022-08-28,8.244,8.71,8.982
2022-08-29,8.25,8.717,8.984
2022-08-30,8.268,8.727,8.991
2022-08-31,8.246,8.728,8.998
2022-09-01,8.269,8.741,9.005
2022-09-02,8.304,8.763,9.014
2022-09-03,8.429,8.805,9.022
2022-09-04,8.561,8.851,9.03
2022-09-05,8.587,8.878,9.05
2022-09-06,8.583,8.901,9.07
2022-09-07,8.651,8.935,9.079
2022-09-08,8.727,8.969,9.089
2022-09-09,8.797,8.997,9.096
2022-09-10,8.874,9.022,9.102
2022-09-11,8.959,9.047,9.103
2022-09-12,9.033,9.066,9.101
2022-09-13,9.108,9.078,9.097
2022-09-14,9.178,9.1,9.098
2022-09-15,9.209,9.119,9.107
2022-09-16,9.251,9.146,9.133
2022-09-17,9.345,9.186,9.161
2022-09-18,9.447,9.256,9.181
2022-09-19,9.505,9.298,9.197
2022-09-20,9.524,9.309,9.202
2022-09-21,9.466,9.283,9.186
2022-09-22,9.445,9.245,9.158
2022-09-23,9.451,9.219,9.135
2022-09-24,9.435,9.2,9.13
2022-09-25,9.35,9.192,9.165
2022-09-26,9.374,9.251,9.172
2022-09-27,9.454,9.271,9.162
2022-09-28,9.51,9.255,9.147
2022-09-29,9.54,9.252,9.139
2022-09-30,9.581,9.263,9.131
2022-10-01,9.631,9.282,9.13
2022-10-02,9.685,9.307,9.131
