"Date","40 m","47 m","56 m","66 m","78 m","92 m","110 m","131 m","156 m"
2023-11-26,7.079,5.858,4.635,6.428,6.999,7.055,8.516,9.071,9.404
2023-11-27,7.184,5.79,4.617,6.423,6.947,7.068,8.425,9.008,9.379
2023-11-28,7.127,5.767,4.731,6.417,6.873,7.072,8.363,8.977,9.393
2023-11-29,6.68,5.536,4.676,6.418,6.845,7.075,8.445,8.893,9.298
2023-11-30,6.96,5.882,4.684,6.475,6.901,7.093,8.5,8.756,9.045
2023-12-01,7.75,6.44,4.823,6.545,6.955,7.086,8.438,8.705,8.918
2023-12-02,7.866,6.418,4.969,6.608,6.936,7.059,8.358,8.669,8.881
2023-12-03,8.062,6.662,5.174,6.675,6.935,7.038,8.292,8.655,8.965
2023-12-04,7.952,6.656,5.337,6.702,6.949,7.026,8.263,8.688,9.099
2023-12-05,7.696,6.569,5.448,6.676,6.925,7.022,8.275,8.739,9.176
2023-12-06,7.385,6.416,5.436,6.668,6.902,7.017,8.318,8.75,9.208
2023-12-07,7.156,6.257,5.39,6.619,6.812,6.985,8.299,8.708,9.204
2023-12-08,7.355,6.405,5.392,6.573,6.713,6.919,8.223,8.639,9.202
2023-12-09,7.442,6.493,5.376,6.558,6.642,6.849,8.181,8.568,9.163
2023-12-10,7.671,6.792,5.487,6.585,6.621,6.801,8.094,8.533,9.216
2023-12-11,7.568,6.678,5.469,6.538,6.557,6.727,8.035,8.535,9.248
2023-12-12,7.4,6.554,5.473,6.374,6.434,6.614,8.003,8.455,9.125
2023-12-13,7.437,6.702,5.465,6.337,6.403,6.548,7.937,8.294,8.858
2023-12-14,7.326,6.881,5.493,6.374,6.43,6.56,7.831,8.178,8.688
2023-12-15,7.182,6.974,5.625,6.441,6.437,6.577,7.726,8.091,8.639
2023-12-16,7.096,6.736,5.547,6.412,6.391,6.575,7.659,8.094,8.661
2023-12-17,7.012,6.808,5.722,6.419,6.346,6.556,7.595,8.096,8.743
2023-12-18,6.992,6.913,5.82,6.427,6.335,6.577,7.579,8.131,8.871
2023-12-19,7.048,6.88,5.936,6.345,6.258,6.561,7.586,8.173,8.88
2023-12-20,7.052,6.712,5.824,6.119,6.17,6.586,7.708,8.189,8.737
2023-12-21,7.097,6.759,5.792,6.108,6.154,6.643,7.755,8.09,8.599
2023-12-22,6.891,6.83,5.941,6.333,6.19,6.663,7.78,8.013,8.646
2023-12-23,6.722,6.721,6.176,6.49,6.198,6.633,7.657,8.011,8.755
2023-12-24,6.654,6.657,6.26,6.394,6.146,6.578,7.592,8.088,8.821
2023-12-25,6.604,6.639,6.262,6.216,6.069,6.47,7.602,8.105,8.825
2023-12-26,6.586,6.62,6.257,6.145,6.027,6.385,7.571,8.046,8.819
2023-12-27,6.577,6.586,6.205,6.072,5.98,6.306,7.463,7.895,8.75
2023-12-28,6.566,6.551,6.187,6.026,5.967,6.281,7.37,7.831,8.755
2023-12-29,6.531,6.497,6.124,6.052,5.99,6.275,7.301,7.851,8.797
2023-12-30,6.439,6.336,5.949,5.94,5.965,6.314,7.339,8.009,8.857
2023-12-31,6.392,6.312,5.861,5.832,5.955,6.294,7.369,8.082,8.817
2024-01-01,6.314,6.285,5.82,5.732,5.922,6.285,7.348,8.114,8.669
2024-01-02,6.246,6.231,5.824,5.721,5.91,6.274,7.316,8.11,8.579
2024-01-03,6.182,6.137,5.778,5.726,5.91,6.26,7.291,8.136,8.547
2024-01-04,6.115,6.064,5.719,5.737,5.909,6.222,7.252,8.148,8.545
2024-01-05,6.03,5.973,5.667,5.749,5.907,6.183,7.215,8.151,8.557
2024-01-06,5.838,5.86,5.615,5.725,5.901,6.165,7.201,8.203,8.584
2024-01-07,5.653,5.734,5.577,5.724,5.899,6.128,7.203,8.159,8.651
2024-01-08,5.394,5.571,5.511,5.786,5.917,6.084,7.182,8.021,8.743
2024-01-09,5.155,5.442,5.444,5.801,5.903,6.05,7.154,8.094,8.857
2024-01-10,5.026,5.356,5.475,5.731,5.858,6.027,7.18,8.264,8.954
2024-01-11,4.871,5.274,5.456,5.695,5.817,6.049,7.141,8.382,9.015
2024-01-12,4.838,5.115,5.391,5.633,5.802,6.131,7.067,8.511,8.953
2024-01-13,4.947,4.89,5.286,5.604,5.837,6.193,6.993,8.598,8.794
2024-01-14,4.881,4.776,5.258,5.652,5.856,6.261,6.846,8.472,8.665
2024-01-15,4.828,4.686,5.117,5.764,5.895,6.317,6.839,8.683,8.58
2024-01-16,4.792,4.636,4.986,5.84,5.945,6.308,6.97,8.83,8.592
2024-01-17,4.74,4.59,4.987,5.857,5.97,6.312,7.001,8.74,8.611
2024-01-18,4.576,4.434,5.005,5.941,5.996,6.351,7.155,8.826,8.529
2024-01-19,4.34,4.265,4.959,5.99,6.032,6.399,7.287,8.87,8.482
2024-01-20,4.23,4.205,4.776,5.937,6.041,6.38,7.231,8.727,8.525
2024-01-21,4.179,4.153,4.653,5.887,6.046,6.377,7.148,8.569,8.656
2024-01-22,4.104,4.084,4.621,5.867,6.053,6.376,7.162,8.582,8.728
2024-01-23,4.013,4.011,4.579,5.786,6.046,6.383,7.273,8.676,8.776
2024-01-24,3.907,3.915,4.483,5.701,6.031,6.375,7.399,8.727,8.813
2024-01-25,3.841,3.833,4.359,5.651,6.015,6.324,7.368,8.686,8.855
2024-01-26,3.786,3.777,4.359,5.622,5.984,6.275,7.325,8.65,8.87
2024-01-27,3.715,3.744,4.304,5.558,5.94,6.222,7.248,8.602,8.904
2024-01-28,3.659,3.667,4.235,5.485,5.874,6.157,7.216,8.6,8.914
