"Date","222 m","318 m","380 m","902 m","1245 m"
2002-03-01,5.833,5.871,5.613,4.316,3.923
2002-03-02,5.816,5.929,5.716,4.262,3.923
2002-03-03,6.388,6.093,5.954,4.213,3.92
2002-03-04,6.769,6.043,5.871,4.173,3.915
2002-03-05,6.003,5.828,5.666,4.153,3.927
2002-03-06,6.165,5.878,5.759,4.129,3.933
2002-03-07,6.609,5.876,5.685,4.092,3.908
2002-03-08,6.383,5.828,5.635,4.06,3.87
2002-03-09,6.453,5.929,5.797,4.029,3.828
2002-03-10,6.472,5.918,5.83,4.022,3.8
2002-03-11,6.212,5.593,5.552,4.007,3.771
2002-03-12,5.513,5.365,5.362,4.027,3.763
2002-03-13,5.547,5.46,5.395,4.02,3.756
2002-03-14,5.833,5.78,5.604,4.017,3.747
2002-03-15,6.103,5.833,5.712,4.031,3.754
2002-03-16,6.317,5.945,5.857,4.045,3.764
2002-03-17,6.552,6.126,5.997,4.05,3.771
2002-03-18,6.832,6.577,6.398,4.039,3.777
2002-03-19,7.026,6.899,6.747,4.053,3.79
2002-03-20,7.063,7.116,6.958,4.059,3.799
2002-03-21,7.199,7.126,6.966,4.052,3.804
2002-03-22,7.39,6.746,6.834,4.022,3.796
2002-03-23,7.468,6.594,6.721,3.968,3.743
2002-03-24,7.182,6.282,6.37,3.916,3.674
2002-03-25,7.065,6.258,6.391,3.889,3.64
2002-03-26,7.303,6.669,6.628,3.938,3.659
2002-03-27,7.551,7.037,6.886,4.124,3.686
2002-03-28,7.603,7.061,6.802,4.311,3.715
2002-03-29,7.659,6.997,6.783,4.435,3.737
2002-03-30,7.883,7.321,6.977,4.423,3.749
2002-03-31,8.034,7.33,7.038,4.347,3.773
2002-04-01,8.079,7.273,6.999,4.308,3.828
2002-04-02,8.122,7.216,6.897,4.28,3.888
2002-04-03,7.606,6.765,6.591,4.327,3.949
2002-04-04,7.782,7.042,6.876,4.369,4.021
2002-04-05,8.058,7.174,6.961,4.428,4.099
2002-04-06,8.336,7.343,7.19,4.472,4.165
2002-04-07,8.662,7.572,7.364,4.431,4.181
2002-04-08,8.919,7.479,7.473,4.423,4.163
2002-04-09,9.08,7.431,7.521,4.45,4.139
2002-04-10,9.093,7.388,7.47,4.45,4.116
2002-04-11,8.154,7.023,7.158,4.494,4.096
2002-04-12,8.062,7.333,7.267,4.53,4.081
2002-04-13,8.327,7.502,7.3,4.511,4.066
2002-04-14,8.021,6.971,6.957,4.541,4.062
2002-04-15,7.653,6.909,6.898,4.598,4.062
2002-04-16,7.77,7.201,6.947,4.599,4.054
2002-04-17,7.852,7.214,6.968,4.617,4.05
2002-04-18,7.948,7.222,6.998,4.649,4.06
2002-04-19,8.009,7.4,7.129,4.677,4.068
2002-04-20,8.121,7.397,7.204,4.738,4.078
2002-04-21,8.173,7.195,7.037,4.837,4.1
2002-04-22,8.229,7.16,6.949,4.932,4.146
2002-04-23,8.276,7.114,6.893,4.987,4.204
2002-04-24,8.39,6.963,6.758,5.007,4.242
2002-04-25,8.421,6.748,6.628,5.018,4.256
2002-04-26,8.384,6.773,6.756,5.02,4.26
2002-04-27,7.82,6.774,6.873,4.981,4.263
2002-04-28,7.353,6.751,6.89,4.929,4.271
2002-04-29,7.403,6.908,6.826,4.861,4.267
2002-04-30,7.436,6.944,6.793,4.783,4.26
2002-05-01,7.469,6.917,6.758,4.712,4.27
2002-05-02,7.384,6.832,6.677,4.666,4.273
2002-05-03,7.442,6.843,6.658,4.636,4.266
2002-05-04,7.231,6.698,6.536,4.606,4.252
2002-05-05,6.939,6.616,6.443,4.58,4.23
2002-05-06,7.006,6.673,6.691,4.538,4.197
2002-05-07,7.492,6.785,6.849,4.494,4.161
2002-05-08,8.229,6.833,6.74,4.485,4.133
2002-05-09,8.143,6.84,6.815,4.48,4.11
2002-05-10,7.934,6.915,7.007,4.458,4.089
2002-05-11,8.031,6.888,6.875,4.434,4.069
2002-05-12,8.009,6.628,6.704,4.407,4.048
2002-05-13,7.94,6.757,6.866,4.356,4.016
2002-05-14,7.945,6.947,7.1,4.311,3.979
2002-05-15,8.032,6.797,7.108,4.268,3.926
2002-05-16,8.045,6.334,6.384,4.259,3.887
2002-05-17,7.73,6.279,6.728,4.252,3.888
2002-05-18,7.67,6.467,6.506,4.292,3.947
2002-05-19,7.696,6.648,6.535,4.361,4.038
2002-05-20,7.853,6.783,6.596,4.423,4.126
2002-05-21,7.95,6.851,6.732,4.476,4.212
2002-05-22,8.083,6.738,6.979,4.558,4.237
2002-05-23,8.091,6.452,6.991,4.601,4.233
2002-05-24,8.14,6.275,6.982,4.612,4.219
