"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
2022-11-17,4.533,4.466,4.894,4.964,5.542,5.841,6.913,7.73,6.555
2022-11-18,4.602,4.49,4.929,4.957,5.528,5.839,6.917,7.732,6.571
2022-11-19,4.568,4.433,5.024,4.978,5.486,5.777,6.886,7.726,6.598
2022-11-20,4.557,4.464,5.065,5.015,5.481,5.727,6.823,7.709,6.59
2022-11-21,4.679,4.585,5.047,5.033,5.501,5.744,6.829,7.7,6.595
2022-11-22,4.593,4.412,5.081,5.085,5.561,5.666,6.754,7.666,6.655
2022-11-23,4.601,4.482,5.139,5.165,5.602,5.658,6.699,7.659,6.666
2022-11-24,4.695,4.565,5.227,5.227,5.618,5.63,6.648,7.644,6.685
2022-11-25,4.688,4.552,5.349,5.285,5.614,5.509,6.494,7.567,6.743
2022-11-26,4.933,4.926,5.443,5.371,5.667,5.637,6.532,7.526,6.734
2022-11-27,5.237,5.539,5.363,5.421,5.888,6.006,7.112,7.503,6.673
2022-11-28,5.064,5.496,5.349,5.41,5.974,6.199,7.449,7.477,6.653
2022-11-29,5.191,5.399,5.355,5.387,5.909,6.197,7.327,7.49,6.65
2022-11-30,5.225,5.352,5.359,5.418,5.876,6.152,7.217,7.509,6.663
2022-12-01,5.272,5.433,5.348,5.47,5.897,6.165,7.151,7.498,6.66
2022-12-02,5.373,5.487,5.338,5.439,5.967,6.191,7.215,7.463,6.66
2022-12-03,5.368,5.415,5.341,5.434,5.921,6.171,7.171,7.436,6.689
2022-12-04,5.408,5.477,5.336,5.446,5.907,6.162,7.136,7.378,6.666
2022-12-05,5.471,5.494,5.342,5.434,5.894,6.154,7.193,7.346,6.661
2022-12-06,5.474,5.488,5.363,5.445,5.869,6.129,7.147,7.322,6.676
2022-12-07,5.519,5.553,5.357,5.444,5.861,6.123,7.119,7.284,6.664
2022-12-08,5.561,5.605,5.349,5.436,5.875,6.131,7.143,7.249,6.66
2022-12-09,5.605,5.668,5.341,5.424,5.901,6.145,7.181,7.218,6.662
2022-12-10,5.632,5.693,5.34,5.415,5.903,6.143,7.169,7.2,6.662
2022-12-11,5.614,5.665,5.345,5.422,5.887,6.124,7.089,7.191,6.66
2022-12-12,5.597,5.689,5.364,5.457,5.905,6.127,7.021,7.196,6.663
2022-12-13,5.594,5.666,5.424,5.484,5.932,6.131,6.995,7.201,6.668
2022-12-14,5.625,5.865,5.304,5.613,6.271,6.403,7.005,7.218,6.657
2022-12-15,5.589,5.76,5.392,5.641,6.324,6.582,7.105,7.227,6.647
2022-12-16,5.544,5.641,5.491,5.692,6.254,6.536,7.082,7.286,6.664
2022-12-17,5.503,5.656,5.47,5.695,6.232,6.531,7.093,7.335,6.666
2022-12-18,5.534,5.72,5.433,5.693,6.241,6.564,7.109,7.351,6.677
2022-12-19,5.626,5.881,5.374,5.71,6.338,6.664,7.149,7.325,6.666
2022-12-20,5.672,5.833,5.349,5.716,6.38,6.716,7.173,7.293,6.653
