"Date","8 m","10 m","13 m","16 m","18 m","25 m","34 m"
2010-05-23,11.769,11.393,9.955,8.245,8.212,6.427,6.098
2010-05-24,12.15,11.83,10.225,8.547,8.444,6.534,6.183
2010-05-25,12.513,12.104,10.461,8.609,8.567,6.679,6.238
2010-05-26,12.871,12.179,10.604,8.679,8.563,6.799,6.282
2010-05-27,13.024,11.746,10.494,8.617,8.343,6.832,6.295
2010-05-28,12.808,10.596,9.768,8.513,7.936,6.777,6.265
2010-05-29,12.641,9.971,9.355,8.494,7.785,6.74,6.202
2010-05-30,12.774,10.196,9.279,8.69,7.971,6.796,6.2
2010-05-31,12.462,10.358,9.455,8.759,8.189,6.82,6.17
2010-06-01,12.479,10.618,9.834,8.417,8.181,6.748,6.003
2010-06-02,12.462,11.178,10.108,8.548,8.33,6.828,6.007
2010-06-03,12.616,11.56,10.407,8.606,8.432,6.86,6.01
2010-06-04,12.646,11.863,10.6,8.787,8.545,6.921,6.046
2010-06-05,12.781,12.121,10.749,8.921,8.661,6.977,6.058
2010-06-06,12.812,12.348,10.912,9.129,8.796,7.04,6.115
2010-06-07,12.901,12.556,11.085,9.397,8.978,7.114,6.184
2010-06-08,12.94,12.767,11.163,9.605,9.19,7.2,6.234
2010-06-09,13.073,12.855,11.309,9.542,9.19,7.256,6.234
2010-06-10,13.393,12.845,11.4,9.539,9.034,7.301,6.247
2010-06-11,13.795,12.885,11.615,9.709,9.096,7.371,6.303
2010-06-12,14.208,12.839,11.666,9.923,9.244,7.417,6.347
2010-06-13,14.538,12.912,11.705,10.064,9.409,7.391,6.361
2010-06-14,14.868,13.151,11.995,10.125,9.512,7.373,6.359
2010-06-15,14.806,12.792,11.638,10.246,9.57,7.354,6.312
2010-06-16,14.456,12.181,10.83,9.938,9.457,7.197,6.142
2010-06-17,14.613,12.572,11.038,9.383,9.25,7.088,5.938
2010-06-18,14.864,12.681,11.333,8.986,8.843,6.955,5.816
2010-06-19,15.152,12.652,11.292,9.041,8.622,6.969,5.788
2010-06-20,15.351,13.438,11.675,9.619,8.975,7.156,5.893
