"Date","47 m","66 m","78 m","92 m","110 m"
2000-05-18,5.696,4.976,5.758,6.564,6.833
2000-05-19,5.933,5.044,5.732,6.542,6.837
2000-05-20,5.923,4.992,5.884,6.654,6.858
2000-05-21,5.558,4.994,5.963,6.709,6.808
2000-05-22,5.642,4.945,5.905,6.672,6.802
2000-05-23,5.796,5.011,5.88,6.675,6.785
2000-05-24,5.916,5.089,5.883,6.674,6.794
2000-05-25,5.973,5.146,5.917,6.683,6.805
2000-05-26,6.012,5.181,5.979,6.72,6.815
2000-05-27,6.01,5.095,6.079,6.77,6.846
2000-05-28,5.775,5.055,6.142,6.797,6.836
2000-05-29,5.594,5.055,6.14,6.786,6.843
2000-05-30,5.719,5.044,6.049,6.738,6.837
2000-05-31,5.859,5.156,5.954,6.679,6.789
2000-06-01,5.993,5.323,5.993,6.662,6.76
2000-06-02,6.167,5.372,6.116,6.691,6.789
2000-06-03,6.341,5.417,6.207,6.71,6.797
2000-06-04,6.423,5.444,6.257,6.717,6.785
2000-06-05,6.405,5.459,6.276,6.71,6.755
2000-06-06,6.473,5.534,6.268,6.687,6.721
2000-06-07,6.584,5.719,6.281,6.667,6.665
2000-06-08,6.532,6.167,6.389,6.729,6.564
2000-06-09,6.694,5.893,6.457,6.772,6.687
2000-06-10,6.954,5.751,6.478,6.781,6.806
2000-06-11,6.966,5.6,6.505,6.796,6.855
2000-06-12,6.832,5.619,6.492,6.801,6.862
2000-06-13,6.919,5.737,6.49,6.799,6.881
2000-06-14,6.893,5.904,6.529,6.809,6.867
2000-06-15,6.92,6.095,6.584,6.841,6.867
2000-06-16,6.968,6.274,6.64,6.888,6.867
2000-06-17,7.073,6.306,6.698,6.936,6.902
2000-06-18,7.201,6.12,6.768,6.975,6.967
2000-06-19,7.25,5.873,6.816,7.001,6.969
2000-06-20,7.146,5.918,6.819,7.025,6.952
2000-06-21,7.264,6.049,6.842,7.058,6.965
2000-06-22,7.336,6.174,6.895,7.116,6.976
2000-06-23,7.364,6.284,6.966,7.187,6.999
2000-06-24,7.393,6.223,7.083,7.271,7.068
2000-06-25,7.464,6.115,7.17,7.344,7.091
2000-06-26,7.448,6.196,7.21,7.412,7.1
2000-06-27,7.544,6.208,7.267,7.478,7.141
2000-06-28,7.587,6.202,7.328,7.535,7.171
2000-06-29,7.521,6.141,7.355,7.547,7.163
2000-06-30,7.279,6.085,7.356,7.543,7.131
